Company,Job Title,Rating,Review
Walmart,General Maintenance Technician 2,3,Going home is the best partExpect more than job requirements but won’t pay for itThe problem is the favoritism were one person looks great while the rest are actually doing the work 
Walmart,Cashier,5,It was cool I like working here no issues and walk around but for the most part I liked it I don’t recommend wearing shoes that will hurt your feet though 
Walmart,Front End Manager,1,"The store was poorly managed, lacked any form of support for team to execute their jobs, poor communication, and really poor job/leadership development."
Walmart,Sales Associate/Cashier,3,"The management treated me unfairly. I asked to be in a different department several times or transfer out and it never happened. I wanted to grow in that company and they were very unfair with me. I worked there three and a half years, I'm not sure if I would try it again or recommend employment here."
Walmart,Automotive Technician,1,Coworkers would help you in a heart beat.Certain managers will wrongly terminate you in a heart beat for something that isn’t your fault at all They have their picks and chooses of the associates they like and if they don’t like you they will make your job a living nightmare and find anyway to make you quit or even terminate you.
Walmart,Cashier,3,Great pay.  Customers were a little rude tho.  Managers did help more than I expected.  The holidays were super busy.  It was nice for a first time jon. 
Walmart,Front End Service Associate,2,"Honestly working here was fun and okay for a while until you realize what an awful company Walmart is, not only do you have to work holidays that isn’t thanksgiving or Christmas but they also black out the days so you can’t take them off and if you call in double points, getting ppto is horribly slow and same with pto. Amazing people to work with. It’s just the company that sucks  "
Walmart,Asset Protection Associate,5,"Fair wages and good benefits, perks, hour lunches, nice break rooms, options to try out different departments, thorough training, good management.  Customers are probably the hardest thing about it but at the end of the day who really cares about them. They don’t pay your bills."
Walmart,Wal-Mart Associate,5,"I learned to work as a team, socialize very easy and learn more"
Walmart,Customer Service Associate,4,"I was offered and promised a full time position by multiple TLs after working 40 hours a week for months, but it never went through and nobody remembered when I brought it upRules change constantly and its difficult to keep track at times because if you weren't there when the first team meeting happened, you probably won't hear about it until they see you doing something wrong - unless it's over phone use, that's when they make an effort to pull everyone aside for it.That being said, it's a fairly easy and decent paying job for what it is, many of the leads and employees will treat you as family and defend you when customers act out aggressively"
Walmart,Apparel Associate,3,A very easy place to work as long as you do your work. It can get a little overwhelming as the amount of clothes there is but just do what you can and you’ll be okay.
Walmart,Floor Manager,2,Love Walmart! Love working here. Love the customers. Love the colleagues. I only hate that I have to go home at night instead of living in Walmart. Great job.
Walmart,Wal-Mart Associate,1,Horrible place to work (Murphy especially) poor management. They do not care about family life. Management cares about themselves. The pay sucks. they will schedule you without telling you. Then write you up for being a no show. I highly recommend to look for another job. Place is drama drama drama.
Walmart,Associate,2,"Low pay, tight time requirements. Other staff were nice, but I'm not a fan of management or the corporate culture. It's more or less what you would expect from Walmart."
Walmart,Online Grocery Pickup Associate,2,"Management plays favorites. If you are one of their favorites, you will have a good time working here because you get the time off you want and you can get away with doing pretty much anything such as skipping doing the hard physical labor. Customers are rude and generally draining to deal with. If you want time off, good luck unless you have accumulated enough PTO. If you are working hard, you probably won’t get recognized for it because someone who the management likes more gets all the recognition. "
Walmart,Personal Digital Shopper,4,"Worked a lot individually and as a team to meet daily metrics such as customer satisfaction, completing online orders on time, etc. It was fun, however very fast-paced. "
Walmart,Overnight Stocker,1,"First day on the job and the manager assigned to train me had ZERO interest in actually helping me with my job. I was given only the MOST BASIC instructions and then sent on my way. I attempted bringing this up with another manager and was told the exact same thing. I guess its a good job if you dont mind standing around with NOTHING to do until someone yells at you for slacking. Not even to mention the fact that I was SO overworked, and already tired from it being an overnight shift,on my first night that I had nearly passed out from exhaustion with managers giving absolutely ZERO regard for my health."
